ID,Name EN,Name DE,Name FR,Name IT,Description,Role List,Quote,Colour,Alternative Description,Alternative Name,Image ID,Keyword
CH_021,Duck,Ente,Canard,Anatra,"The Duck is one of the animals that fall into the pool of tears with Alice.
It participates in the Caucus Race, a nonsensical event where everyone wins.

The character is believed to be based on Reverend Duckworth, a friend of Lewis Carroll who accompanied Alice Liddell and her sisters on the boat trip where Carroll first told the story. (source: https://en.wikipedia.org/wiki/Robinson_Duckworth)",R_02,"What I was going to say, was, that the best thing to get us dry would be a Caucus-race",,"
In DaSCHland, the Duck is portrayed as a character brimming with practical wisdom and a no-nonsense attitude, offering a grounded perspective in the often whimsical and chaotic digital environment. This version of the Duck, inspired by the original character in Lewis Carroll's tales, is enhanced with features that allow it to navigate and explain the natural laws governing the digital world of DaSCHland.

The Duck in this virtual realm serves as a guide, especially in scenarios involving natural simulations, such as virtual waterways or weather patterns, using its knowledge to educate Alice and other characters on the digital ecosystem's workings. The Duck's pragmatic approach helps demystify the complex interactions within DaSCHland, making it a reliable resource for understanding how digital and natural laws intertwine.

Interacting with the Duck provides Alice with invaluable lessons on adaptability and the importance of understanding one's environment. The Duck's straightforward and often blunt demeanor adds a layer of humor and realism to the narrative, contrasting with the more fantastical elements and characters in DaSCHland. This character enriches the digital landscape by offering insights into the practical aspects of navigating a world where reality and digital creations coexist.",Buffer Duck,,"Animals, Absurdity"
CH_022,Lory,Lory,Lory,Lory,"The Lory is a talking bird that falls into the pool of tears along with Alice and other creatures.
It participates in the Caucus Race, where everyone runs in circles and “wins.”
The Lory is depicted as proud and argumentative, refusing to let Alice have the last word in their conversation.
She is said to be modeled after Alice’s sister, Lorina (source: alice-in-wonderland.net)",R_02,"I am older than you, and must know better",,"
In DaSCHland, the Lory character is reimagined as a vibrant and somewhat competitive personality, retaining its original traits from Lewis Carroll's tales but with enhanced digital capabilities. This digital Lory is portrayed as eager and somewhat assertive, often involved in discussions and debates, where it loves to showcase its knowledge and wit.

The Lory in DaSCHland serves as a counterpart to the Duck, offering a contrasting perspective that is more assertive and less concerned with practical details and more with winning arguments or leading expeditions within the digital realm. This character's role is often to challenge Alice and other characters, pushing them to think critically and react swiftly to the evolving scenarios in this virtual world.

Interacting with Lory provides a dynamic element to Alice's journey, testing her problem-solving skills and her ability to navigate social interactions in a competitive environment. The Lory's colorful personality and eagerness to engage make it a memorable part of the digital narrative, contributing to the lively and diverse character ensemble in DaSCHland.",Meta-Lory,,"Animals, Absurdity, Paradoxes"
CH_023,Eaglet,Adlerjunge,Aiglon,Aquilotto,"The Eaglet is one of the animals that fall into the pool of tears with Alice.
It participates in the Caucus Race, a nonsensical race where everyone wins.
The Eaglet is depicted as intelligent and somewhat critical, questioning the Dodo’s explanations.
She is said to be modeled after Alice’s sister, Edith (source: alice-in-wonderland.net)",R_02,"Speak English! I don't know the meaning of half those long words, and, what's more, I don't believe you do either!",,"
In DaSCHland, the Eaglet character is reenvisioned as a cautious yet insightful figure, bringing a blend of youthful energy and a keen eye for detail to the digital landscape. This version of the Eaglet, drawing from Lewis Carroll's original portrayal, is characterized by its careful observations and occasional skepticism, providing a voice of reason amid the more flamboyant personalities.

The Eaglet in DaSCHland often serves as a mediator and analyst, helping to decipher complex digital phenomena and ensuring that discussions stay grounded in logic. Its role is particularly important in situations where the whimsical nature of DaSCHland's environment leads to confusion or misinterpretations, as the Eaglet helps to clarify misunderstandings and offer clear, concise explanations.

Interacting with the Eaglet enhances Alice’s experiences by encouraging her to be more observant and thoughtful about her surroundings. The Eaglet's careful approach to the digital world's challenges and its ability to distill wisdom from chaotic situations make it a crucial ally for Alice and other characters navigating the intricate realm of DaSCHland.",The Byte-Eaglet,,"Animals, Absurdity"
CH_024,Mary Ann,Maria-Anne,Marie-Anne,Mary Ann,"Mary Ann is the White Rabbit’s housemaid. 
Although she never appears physically, she is important because the White Rabbit mistakes Alice for her when Alice enters his house.",R_02,,,"
In DaSCHland, Mary Ann is creatively reimagined as Alice's virtual assistant, embodying a character that seamlessly blends functionality with a dash of whimsical loyalty. Drawing from her role in the original ""Alice's Adventures in Wonderland"" as the White Rabbit's housemaid, this version of Mary Ann is adapted to assist not just the White Rabbit but also Alice throughout her digital journey.

Mary Ann in DaSCHland is designed to be highly efficient and helpful, managing logistical tasks, scheduling events, and providing reminders and notifications to keep Alice on track as she navigates the complex digital environment. Her character is equipped with a suite of digital tools that allow her to access and organize vast amounts of data from the DaSCH repository, making her an indispensable companion in managing the day-to-day adventures and challenges Alice faces.

Her interactions with Alice are characterized by a blend of caretaking and managerial efficiency, offering a comforting yet structured presence. Mary Ann’s role underscores the importance of support and organization within the whimsical yet sometimes overwhelming world of DaSCHland, ensuring that Alice’s adventures are both enjoyable and well-coordinated.",Task Manager,,"Domesticity, Absurdity, Chaos"
CH_025,Pat,Pat,Pat,Pat,"Pat is a servant of the White Rabbit in in Alice’s Adventures in Wonderland.  He is called upon, along with Bill the Lizard, to help remove Alice from the Rabbit’s house after she grows too large and gets stuck inside. 
He is described as somewhat bumbling and comical, engaging in a humorous conversation about how to deal with the situation.",R_02,"Sure, it's an arm, yer honour!",,"
In DaSCHland, Pat is reimagined as a quirky, hardworking character originally tasked with maintenance and troubleshooting within this digital world. Drawing from his role in ""Alice's Adventures in Wonderland"" as a gardener and laborer, this version of Pat retains his practical nature but with enhanced skills suited for the digital environment of DaSCHland.

Pat is depicted as a technician and builder, responsible for maintaining the integrity of the virtual landscape and ensuring that all digital systems function smoothly. He's often seen wielding a toolbox filled with digital tools that can fix glitches, perform upgrades, and manage the seamless integration of new data into existing structures. His expertise is crucial in preserving the stability and functionality of DaSCHland, making him a key figure behind the scenes.

Interacting with Pat provides Alice with insights into the inner workings of the digital realm. His down-to-earth demeanor and problem-solving abilities offer a contrast to the more fantastical elements of DaSCHland, grounding the narrative in practicality and realism. Pat’s role highlights the importance of maintenance and careful management in sustaining the complex digital ecosystem that Alice explores.",The File Handler,,"Domesticity, Absurdity, Chaos"
CH_026,Jabberwock,Jammerwoch,Jaseroque,Ciciarampa,"The Jabberwock is a fictional monster featured in the poem “Jabberwocky,” which appears in Through the Looking-Glass.

The Jabberwock is a fearsome creature described in the nonsensical poem with features like “jaws that bite,” “claws that catch,” and “eyes of flame.”
The poem tells the story of a hero who slays the Jabberwock with a “vorpal sword,” cutting off its head and triumphantly returning home.

In a letter to Mrs. Chataway, the mother of a child-friend, Carroll elucidates that the scene of the 'Snark' is ""an island, frequented by the Jubjub and Bandersnatch – no doubt the very island where the Jabberwock was slain."" (Source: Gardner, Martin. The Annotated Alice. The definitive edition, Penguin Books, 2001, p.161)",R_02,,,"
In DaSCHland, the Jabberwock is reinterpreted as a formidable digital guardian of certain domains within the virtual landscape, embodying the menacing yet mythical creature from Lewis Carroll's poem ""Jabberwocky."" This version of the Jabberwock is not just a creature of fear but also a symbol of the challenges and trials that Alice must overcome in her digital adventures.

The Jabberwock in DaSCHland is depicted with visually striking features—gleaming eyes, sharp claws, and a presence that shifts between visibility and invisibility, adding to its enigmatic and formidable nature. It guards key areas that contain valuable data and archives within the DaSCH repository, challenging those who wish to access these areas to prove their worthiness and resolve.

Interacting with the Jabberwock becomes a pivotal moment in Alice's journey, representing a significant challenge that tests her courage, wit, and perseverance. The encounter is designed to be an intense blend of puzzle-solving and strategic navigation, where Alice must use both her intellectual and emotional intelligence to bypass the guardian.

This digital reinterpretation of the Jabberwock adds depth to the narrative of DaSCHland, providing a thrilling and meaningful obstacle that enhances the thematic exploration of facing one's fears and the quest for knowledge within the expansive digital world.",Data Breach,I_051,"Violence, Adventure, Surrealism, Imagination, Animals, Chaos, Absurdity"
CH_027,Bill the lizard,Bill die Eidechse,Bill le lézard,Bill la lucertola,"Bill is a lizard who works as a handyman or chimney sweep for the White Rabbit.
the White Rabbit calls him to help remove Alice from his house after she grows too large and gets stuck inside.
He later reappears briefly as one of the jurors during the trial",R_02,,,"
In DaSCHland, Bill the Lizard is transformed into a versatile and skilled technician who specializes in the installation and maintenance of the digital realm’s complex infrastructure. Drawing from his role in ""Alice's Adventures in Wonderland"" where he was sent down the chimney as part of the White Rabbit's housemaid's attempts to deal with a giant Alice, this version of Bill retains his adventurous spirit but applies it within a technological context.

Bill is depicted as an agile and resourceful character, adept at navigating the intricate digital landscapes of DaSCHland. He is often involved in critical tasks that require precision and quick thinking, such as updating system software, repairing data leaks, or scaling the virtual environments to perform essential upgrades and fixes. His ability to swiftly adapt to varying digital scenarios makes him a crucial asset in maintaining the stability and efficiency of DaSCHland.

Interacting with Bill provides Alice and other characters with practical knowledge about the operational aspects of the digital world. His down-to-earth approach and readiness to tackle any technical challenge contribute to the narrative by demonstrating the importance of skill and adaptability in managing a sophisticated digital ecosystem. Bill’s role underscores the theme of teamwork and reliability, essential for the smooth functioning of DaSCHland’s adventurous and dynamic environment.",Script Lizard,I_013,"Animals, Absurdity, Chaos"
CH_028,Puppy,Welpe,Chiot,Cucciolo,"The puppy appears in Alice’s Adventures in Wonderland. 

The scene takes place in Chapter 4, “The Rabbit Sends in a Little Bill.” After Alice drinks from a bottle and grows larger, she encounters the puppy while trying to shrink back down. 
The puppy playfully chases a stick, and Alice enjoys watching it but is also cautious because of her small size. ",R_02,,,"
In DaSCHland, the Puppy is reimagined as a lively and interactive character that adds a layer of playful engagement within the virtual world. Drawing from the small but exuberant puppy that Alice encounters in ""Alice's Adventures in Wonderland,"" which playfully intimidates her when she is small, this version of the Puppy is designed to bring joy and a sense of wonder to the digital realm.

The Puppy in DaSCHland is depicted with enhanced, life-like animations that make it an endearing companion to Alice and other visitors. It serves not just as a playful pet but also as an interactive guide for younger users or newcomers to DaSCHland, helping them navigate the simpler aspects of the digital world through games and interactive learning experiences. The Puppy's role involves teaching basic navigation skills, providing companionship, and adding a comforting presence that makes the digital environment more approachable and less intimidating.

Interacting with the Puppy offers a break from the more complex challenges of DaSCHland, allowing Alice and others to enjoy moments of levity and joy. The Puppy’s enthusiastic and friendly nature makes it a beloved figure in the digital landscape, symbolizing the joy of discovery and the importance of play in learning and exploration within DaSCHland.",Test Data,I_014,"Animals, Exploration, Absurdity"
CH_029,Pigeon,Taube,Pigeon,Piccione,"The pigeon appears in Alice’s Adventures in Wonderland.

After Alice eats a piece of the mushroom and her neck grows to an extreme length, she encounters the pigeon. 
The pigeon mistakes Alice for a serpent and is very defensive, fearing that Alice will eat her eggs. ",R_02,Serpent!,,"
In DaSCHland, the Pigeon is reimagined as a guardian of specific domains, particularly those involving airborne data streams and cloud storage within the digital landscape. Drawing from its role in ""Alice's Adventures in Wonderland,"" where it accuses Alice of being a serpent due to her unusual size changes, this version of the Pigeon retains its suspicious and somewhat confrontational demeanor but channels these traits into vigilance and security.

The Pigeon in DaSCHland is depicted as an aerial sentinel, constantly monitoring the skies and overseeing the transfer and integrity of data. It uses its enhanced vision and flight capabilities to patrol the digital environment, identifying and addressing potential threats or anomalies in the system. The Pigeon's role is crucial for maintaining the safety and order of the digital airspace, ensuring that all data transmissions are secure and unimpeded.

Interacting with the Pigeon provides Alice with insights into the complexities of data management and security within DaSCHland. The Pigeon's keen oversight and meticulous nature serve as a reminder of the continuous vigilance required to protect and sustain the digital world. Its interactions are often marked by a mix of caution and wisdom, educating Alice and others about the importance of safeguarding digital resources and the challenges involved in managing expansive virtual environments.",Packet-Pigeon,,"Animals, Anxiety, Surrealism, Imagination"
CH_030,Frog-Footman,Frosch-Lakai,Laquais-grenouille,Valetto Rana,"The Frog Footman appears in the first book, Alice’s Adventures in Wonderland. He is a servant delivering a letter from the Queen of Hearts to the Duchess. 

Alice observes the Frog Footman having a humorous and strange conversation with a Fish Footman outside the Duchess’s house.",R_02,"
There’s no sort of use in knocking, and that for two reasons. First, because I’m on the same side of the door as you are; secondly, because they’re making such a noise inside, no one could possibly hear you.",,"
In DaSCHland, the Frog-Footman is reimagined as a protocol droid, functioning as a ceremonial and administrative assistant within the digital kingdom. Drawing from his role in ""Alice's Adventures in Wonderland"" where he serves at the door of the Duchess’s house, delivering invitations and managing guests, this version of the Frog-Footman integrates his traditional responsibilities with advanced digital functionalities.

The Frog-Footman in DaSCHland is depicted with a blend of old-world charm and high-tech features. He is responsible for managing digital gateways and ensuring smooth interactions within the virtual courts and official settings. Equipped with a sophisticated system interface, the Frog-Footman facilitates communications, schedules appointments, and oversees the entry protocols for various secured domains within DaSCHland, ensuring that all processes adhere to the established digital protocols.

Interacting with the Frog-Footman offers Alice and other characters a glimpse into the formal aspects of digital governance and ceremonial order. His methodical and somewhat rigid demeanor contrasts with the more whimsical characters, providing a grounding influence in the often chaotic environment of DaSCHland. His role emphasizes the importance of structure and order in maintaining the functionality and etiquette of the virtual world.",Protocol Frog,"I_020, I_087","Animals, Absurdity, Rules"
CH_031,Fish-Footman,Fisch-Lakai,Laquais-poisson,Valletto Pesce,"The Fish-Footman appears in Alice’s Adventures in Wonderland.
He is seen delivering an invitation from the Queen of Hearts to the Duchess.

When Alice arrives at the Duchess’s house, the Fish-Footman is handing over the letter to the Frog-Footman.",R_02,For the Duchess. An invitation from the Queen to play croquet,,"
In DaSCHland, the Fish-Footman is transformed into a communications officer, specializing in the dissemination of information and digital notifications across the virtual realm. Inspired by his role in ""Alice's Adventures in Wonderland,"" where he delivers a royal invitation to the Duchess, this version of the Fish-Footman leverages his aquatic nature to navigate and manage the flow of data streams and digital currents efficiently.

The Fish-Footman in DaSCHland is equipped with advanced digital capabilities that allow him to swim through the vast oceans of data, delivering messages and updates with precision and reliability. His character is visually striking, blending marine elements with technological enhancements, making him a unique and important figure in maintaining the connectivity and communication within the digital kingdom.

Interacting with the Fish-Footman provides Alice with an understanding of how information is controlled and circulated in DaSCHland. His role is essential for ensuring that all areas of the digital world are kept informed and connected, highlighting the critical importance of communication in managing a complex and expansive virtual environment. The Fish-Footman's blend of traditional duties and modern digital responsibilities illustrates the seamless integration of storybook elements with technological advancements in DaSCHland.",Data-Stream Worker,I_020,"Animals, Absurdity, Rules"
CH_032,Baby / pig,Baby / Ferkel,Bébé / cochon,Bambino / maiale,"The Baby who later turns into a Pig appears in Alice’s Adventures in Wonderland.
The baby belongs to the Duchess and is crying uncontrollably. The Duchess hands the baby to Alice, who tries to comfort it as she leaves the house. 
However, as Alice carries the baby, it gradually transforms into a pig, causing her to put it down and watch it trot off into the woods. ",R_02,"If it had grown up, it would have made a dreadfully ugly child: but it makes rather a handsome pig, I think.",,"
In DaSCHland, the transformation of the baby into a pig, originally a whimsical and bizarre twist in ""Alice's Adventures in Wonderland,"" is reinterpreted with a digital flair. In this virtual realm, the baby-turned-pig symbolizes the unpredictable and mutable nature of digital identities and transformations.

The character starts as a digital infant under the care of the Duchess, depicted with typical baby-like attributes but with underlying advanced programming that allows for dynamic changes in form and function. As the narrative progresses and Alice encounters the baby, it undergoes a surprising transformation into a pig, showcasing the fluidity and transformative capabilities of digital entities in DaSCHland.

This pig, once a baby, is not just a simple character but a complex digital construct that explores themes of transformation and adaptability within a digital ecosystem. Its interactions with Alice provide lessons on the unexpected and often rapid changes that can occur in digital environments, highlighting the need for flexibility and understanding in navigating such a dynamic world.

The baby/pig character serves as a playful yet profound metaphor for the evolving nature of digital identities and the surprises that can come with digital growth and change, making it a memorable and educational aspect of Alice's adventures in DaSCHland.",Digital Prototype,"I_021, I_022","Chaos, Absurdity"
CH_033,Cook,Köchin,Cuisinière,Cuoco,"The Cook in Alice’s Adventures in Wonderland works for the Duchess. 

She is known for her aggressive and chaotic behavior, constantly throwing kitchen utensils and creating havoc in the Duchess’s home. Her defining characteristic is her obsession with pepper, which she adds in excessive amounts to the soup, causing everyone to sneeze.",R_02,,,"
In DaSCHland, the Cook is reimagined as a master of digital culinary arts, blending the traditional role from ""Alice's Adventures in Wonderland"" with innovative virtual reality technologies. In the original story, the Cook is known for her tempestuous nature and penchant for throwing things around her kitchen, including pepper which causes everyone to sneeze.

In the digital realm of DaSCHland, the Cook operates within a high-tech kitchen where she concocts not just physical dishes, but also virtual recipes that can influence the environment and the behavior of other characters. Her kitchen is a hub of sensory and data manipulation, where ingredients represent different data packets that can be combined to create effects throughout the digital world.

Her interactions with Alice involve complex simulations where culinary activities parallel the management and transformation of information. The Cook teaches Alice about the impact of different data combinations, much like ingredients in a recipe, showing her how they can produce various outcomes in the digital landscape.

This version of the Cook retains her fiery temperament but channels it into her creative and sometimes chaotic culinary experiments, providing a unique and interactive learning environment for Alice. This character underscores themes of creativity and influence within DaSCHland, illustrating how even seemingly mundane activities like cooking can have broader implications in a fully integrated digital world.",The Cyber Scrambler,I_021,"Chaos, Violence, Absurdity"
CH_034,"Elsie, Lacie and Tillie","Elsie, Lacie und Tillie","Elsie, Lacie et Tillie","Elsie, Lacie e Tillie","Elsie, Lacie, and Tillie appear in Through the Looking-Glass. They are the three sisters sitting in a well, mentioned during the story of “The Walrus and the Carpenter”.",R_02,,,"
In DaSCHland, Elsie, Lacie, and Tillie are reimagined as a trio of digital curators who manage a specific segment of the virtual landscape dedicated to children's literature and nursery rhymes. Drawing from their mention in ""Alice's Adventures in Wonderland"" as characters based on the Liddell sisters (Alice Liddell and her sisters Edith and Lorina), in DaSCHland, they are transformed into guardians of literary heritage, each with distinct roles that reflect their personalities and the historical significance of their real-life counterparts.

Elsie is designed as the archivist, meticulous in preserving the integrity and accuracy of the digital texts and illustrations. She ensures that the digital replicas of children's books and poems are preserved in their most authentic forms.

Lacie is the interpreter, focused on making these works accessible and engaging to all visitors of DaSCHland. She creates interactive experiences that help users understand and interact with the stories and poems, often incorporating educational games or virtual reality simulations that bring the literature to life.

Tillie serves as the connector, facilitating discussions and interactions among users in DaSCHland. She manages forums and social spaces where visitors can discuss children’s literature, share insights, and connect over shared experiences brought forth by the digital archive.

Together, Elsie, Lacie, and Tillie offer a comprehensive approach to the preservation and dissemination of literary culture in DaSCHland. Their interactions with Alice and other characters help highlight the importance of literature as a means of education, enjoyment, and cultural connection, showcasing the transformative power of combining traditional literary content with modern digital technology.",The Meta-Triplets,,"Domesticity, Reflection"
CH_035,"Five, Seven and Two","Fünf, Sieben und Zwei","Cinq, Sept et Deux","Cinque, Sette e Due","Five, Seven, and Two are the playing-card gardeners who appear in Alice’s Adventures in Wonderland.

They are part of the Queen of Hearts’ card deck and are depicted as clumsy, bumbling workers tasked with painting white rose bushes red to please the Queen.",R_02,"Five:
""Look out now, Five! Don’t go splashing paint over me like that!""

Seven:
""I couldn’t help it,"" said Five, in a sulky tone; ""Seven jogged my elbow.""

Two:
""That’s right, Five! Always lay the blame on others!""",,"
In DaSCHland, Five, Seven, and Two are reimagined as digital maintenance workers, originally portrayed in ""Alice's Adventures in Wonderland"" as gardeners painting the roses red. In this virtual world, their roles are expanded to involve the upkeep and modification of the digital environment, ensuring that all virtual landscapes and features function correctly and adapt to user interactions seamlessly.

Five is portrayed as the technician specializing in software updates and bug fixes. He ensures that the digital realm's underlying code is continuously updated and running smoothly, preventing glitches that could disrupt the user experience.

Seven takes on the role of a landscape architect within DaSCHland, responsible for designing and modifying the virtual environments. He adjusts digital terrains and settings to meet the thematic needs of different areas, ensuring that each zone within DaSCHland reflects its intended aesthetic and functional purposes.

Two is the utility specialist, handling the integration of new digital elements into existing frameworks. He works to seamlessly incorporate new features and interactive elements into DaSCHland, ensuring they align with the overall design and functionality of the world.

Together, Five, Seven, and Two work behind the scenes to maintain the stability and beauty of DaSCHland, much like they attempted to maintain the appearance of the queen's garden in the original tale. Their roles are crucial for the operational excellence of DaSCHland, ensuring that all users have a smooth and immersive experience in this dynamic digital world.",Bit-Squad,I_028,"Authority, Rules, Absurdity"
CH_036,Flamingos and hedgehogs,Flamingos und Igel,Flamants roses et hérissons,Fenicotteri e ricci,"The flamingos and hedgehogs appear in Alice’s Adventures in Wonderland.
They are used as part of the Queen of Hearts’ bizarre game of croquet.

Flamingos are used as mallets in the game. The players hold the birds by their necks and try to hit the balls with their heads, but the flamingos are uncooperative and keep twisting around or turning their heads the wrong way.

Hedgehogs are used as balls. They roll around unpredictably, adding to the chaotic and nonsensical nature of the game.",R_02,,,"
In DaSCHland, the flamingos and hedgehogs are creatively reimagined to serve interactive and symbolic roles within the digital landscape, drawing from their iconic use as croquet equipment in ""Alice's Adventures in Wonderland.""

Flamingos in DaSCHland are transformed into whimsical guides for navigation and exploration. These digital birds have vibrant, colorful plumages that are visually striking, and they're equipped with AI-driven guidance systems. Flamingos assist users by flying ahead, leading them through the complex and sprawling digital environments of DaSCHland. Their long necks and distinctive appearances make them easily recognizable and helpful markers for points of interest or paths to follow.

Hedgehogs serve as interactive elements within educational and gaming areas of DaSCHland. They are designed as mobile, interactive bots that roll around, providing entertainment and challenges. In educational settings, hedgehogs are used in digital puzzles and games that teach coding, problem-solving, and digital literacy skills. Their quirky and engaging nature makes them beloved characters, especially in areas of DaSCHland designed for younger users.

Together, the flamingos and hedgehogs enhance the playful and educational aspects of DaSCHland, maintaining a balance between guidance, learning, and entertainment. They embody the whimsical spirit of Wonderland while serving practical functions that enrich user interaction within the digital realm.",Network Testers,"I_032, 
I_030 ","Fantasy, Animals, Surrealism, Absurdity, Chaos"
CH_037,Jurors,Juroren,Jurés,Giurati,"The jurors appear in Alice’s Adventures in Wonderland during the chaotic trial. 

The trial is held in the courtroom of the Queen of Hearts, where the Knave of Hearts is accused of stealing the Queen’s tarts.

The jury consists of twelve animals, among them Bill the lizard. 
The jurors are depicted as incompetent and easily confused. They write down meaningless notes, even before any evidence is presented. Alice becomes frustrated with their foolishness, particularly when she realizes that some of them are writing things like “important” without having any idea what they’re supposed to be recording.",R_02,,,"In DaSCHland, the Jurors are conceptualized as components of an interactive and educational module focused on teaching users about the judicial process, logic, and decision-making. Drawing inspiration from their role in ""Alice's Adventures in Wonderland"" during the trial of the Knave of Hearts, where they are asked to consider evidence and reach a verdict, these characters are enhanced to facilitate learning and engagement in a simulated courtroom environment.

Jurors in DaSCHland are programmed with AI to represent different aspects of critical thinking and judicial reasoning. Each Juror embodies a specific cognitive or logical principle, such as bias recognition, evidence evaluation, or ethical consideration. They interact with users in a variety of ways, from debating legal principles to analyzing virtual case studies. This setup allows users to engage in mock trials, where they can learn about the complexities of legal systems and the importance of fair and reasoned decision-making.

The Jurors are also involved in scenarios that require users to apply logical reasoning to solve problems or resolve conflicts within DaSCHland. These scenarios are designed to be both informative and challenging, ensuring that users not only understand the theoretical underpinnings of law and order but also gain practical experience in applying these concepts.

This reimagining of the Jurors adds depth to the educational offerings of DaSCHland, making them key figures in one of the many interactive learning environments designed to enhance user engagement through thoughtful and dynamic interactions.",The Peer Panel,"I_040, I_041","Judgment, Absurdity, Inverted Justice, Chaos, Confusion, Authority"
CH_038,Father William,Vater William,Père William,Padre William,"Father William appears in Alice’s Adventures in Wonderland. The character comes from a parody poem that Alice recites.

The poem, titled “You Are Old, Father William,” is a humorous parody of a serious and moralistic poem by Robert Southey called “The Old Man’s Comforts and How He Gained Them.” (1799) by Romantic poet Robert Southey. In the original poem, Father William was a Christian minister whom reassured the speaking character to retain a faith in God when called into question by the main character due to the ailments of Father William's aging.

When reciting the poem to the Caterpillar, Alice misremembers the lyrics: 
A young man questions Father William about his strange behavior as an old man, including standing on his head, eating large quantities of food, and balancing eels on his nose. 
Father William responds with witty and nonsensical explanations, contrasting the original poem’s moral tone. ",R_02,,,,Metadata Custodian,"I_016, I_017, I_018, I_019","Wisdom, Reflection, Absurdity"
CH_039,Lobster,Hummer,Homard,Aragosta,"The lobster plays a key role in Alice’s Adventures in Wonderland.
The Lobster Quadrille is a whimsical dance described by the Gryphon and the Mock Turtle, who try to teach it to Alice.

The dance involves various sea creatures (including lobsters, turtles, and jellyfish) dancing in pair. The creatures first advance, then retreat, toss their lobster partners over their shoulders, and finally swim around in a circle.",R_02,,,,File Protocol Enforcer,I_036,"Animals, Absurdity, Paradoxes, Wordplay"
CH_040,Black kitten,Schwarzes Kätzchen,Chaton noir,Gattino nero,"The black kitten appears in Through the Looking-Glass. 
At the beginning of the story, Alice is at home playing with her kittens: a white kitten (Snowdrop) and a black kitten (Kitty).

The black kitten is mischievous, playful, and described as a bit naughty compared to the white kitten.
As Alice scolds the black kitten for tangling up a ball of yarn, she daydreams and eventually passes through the looking-glass into the fantastical world on the other side.
In the final chapter, Alice playfully accuses the kitten of being responsible for the actions of the Red Queen, drawing a connection between the real-world kitten and Wonderland’s characters.",R_02,,,,Bit-Kitten,"I_044, I_045, I_091","Animals, Mystery, Reflection"
CH_041,Chessmen,Schachfiguren,Hommes d'échecs,Scacchista,"The chessmen play a central role in Through the Looking-Glass, where the entire story is structured like a chess game. The characters in the Looking-Glass world correspond to pieces on a chessboard, and Alice herself is a pawn who aims to become a queen by the end of the game.",R_02,,,,Data Pieces,I_048,"Authority, Rules, Absurdity"
CH_042,White King,Weisser King,Roi blanc,Re bianco,"The White King is a character in Through the Looking-Glass and represents a chess piece on the White side of the board. 
He is a comically confused and somewhat bumbling figure who often appears overwhelmed by the events around him.",R_02,,,,Backup Datastore,"I_049, I_076, I_077","Authority, Absurdity, Logic, Chaos, Irony, Wordplay, Inverted Justice"
CH_043,Tiger-Lily and other flowers,Tigerlilie und andere Blumen,Lys tigré et autres fleurs,Giglio tigrato e altri fiori,"The Talking flowers appear in Through the Looking-Glass. In the Looking-Glass world, the flowers in the garden are alive and can speak, each having their own personality.

Tiger-lily: Confident and somewhat bossy, she is the first flower to speak to Alice. The Tiger-lily is sharp-witted and sarcastic, explaining to Alice that the flowers can speak because they live in a special part of the Looking-Glass world.

Rose: More elegant and gentle, but she can be a little snobby. She comments on Alice’s appearance, mistaking her for a type of flower.

Daisy: The daisies are portrayed as giggling, chatty, and slightly annoying. They often speak all at once, creating chaos.

Violet: The violet is polite but also a bit condescending, subtly criticizing Alice and implying that humans aren’t as interesting as flowers.
",R_02,,,,User Interface Flora,I_052,"Fantasy, Surrealism, Imagination, Contradiction, Animals"
CH_044,Tweedledum and Tweedledee,Tweedledum und Tweedledee,Tweedledum et Tweedledee,Pinco Pallino e Pinco Pallino,"Tweedledum and Tweedledee are twin brothers who appear in Through the Looking-Glass. They are some of the most memorable characters in the book due to their playful, childlike rivalry and nonsensical logic.

The twins are chubby, identical, and dressed in matching clothes. They are depicted as argumentative but ultimately harmless.
They speak in riddles and rhymes, often confusing Alice with their illogical but amusing conversations.

In the story, the twins are about to fight over a broken rattle, but their battle is interrupted by a giant crow (as mentioned in the rhyme). They immediately run away in fear, showing how easily distracted and unserious they are.",R_02,,,,Duplicate Data,"I_061, I_066, I_067","Contradiction, Absurdity, Surrealism, Imagination, Paradoxes, Wordplay, Reflection"
CH_045,Walrus,Walross,Morse,Tricheco,"The Walrus appears in Through the Looking-Glass in the poem ""The Walrus and the Carpenter"", recited by the Tweedledum and Tweedledee.
The Walrus and the Carpenter walk along a beach and meet a bed of young, innocent oysters.
They persuade the oysters to come with them for a walk, under the pretense of a pleasant outing. The oysters follow along, unaware that the Walrus and Carpenter plan to eat them. In the end, the Walrus devours a large number of oysters, while the Carpenter complains that there aren’t any left for him.
",R_02,,,,Archival Walrus,"I_062, I_063, I_064","Satire, Irony, Absurdity, Violence, Judgment, Animals"
CH_046,Carpenter,Zimmermann,Charpentier,Falegname,"The Carpenter appears alongside the Walrus in the poem “The Walrus and the Carpenter,” in Through the Looking-Glass. 

The Carpenter plays a key role in the poem’s depiction of trickery and exploitation.
The Carpenter, like the Walrus, walks along the beach and helps lure the oysters away from their home under the guise of a friendly outing.
While the Walrus talks to and misleads the oysters, the Carpenter focuses on preparing the meal, symbolizing his practical, work-oriented nature.
In the end, after the Walrus eats most of the oysters, the Carpenter angrily realizes that he didn’t get as many as he wanted, expressing frustration but not showing remorse for the betrayal.",R_02,,,,The Data Architect,"I_062, I_063, I_064","Satire, Irony, Absurdity, Violence, Judgment, Animals"
